year,season,discipline,startDate,endDate,organisingFederationCode,eventName,eventVenue,eventLevel,eventTypes,localOrganisers,region,information,eventorUrl,entryType,entryDeadlines,eventStatus,punchingSystem,websiteUrl,numberOfCompetitions,eventForm,competitionFormat,numberOfEntries,numberOfFemaleResults,numberOfMaleResults,numberOfUnknownGenderResults
,,FootO,,,LAT,Kurzemes Pavasaris,"Naudite, Auces region",World Ranking Event,World Ranking Event,Saldus OK,Europe,,https://eventor.orienteering.org/Events/Show/5221,Individual,2016-03-27 20:59:59; 2016-04-03 20:59:59,Completed,SportIdent,http://www.pavasaris.lv,0,Individual,Middle,0,47,13,0
,,FootO,,,SWE,Swedish League,"Brösarp, Sweden",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5333,Individual,2016-04-08 18:00:59,Completed,SportIdent,http://www.andrarumsif.se/swedishleague,0,Individual,Long,0,108,77,0
,,FootO,,,FIN,Turku Sprint,"Martin koulu, Turku",World Ranking Event,World Ranking Event,Turun Suunnistajat,Europe,,https://eventor.orienteering.org/Events/Show/5462,Individual,2016-04-10 20:59:59,Completed,Emit,http://www.turunsuunnistajat.fi/turkusprint2016,0,Individual,Sprint,9,106,77,0
,,FootO,,,LTU,Pavasario Taure (Spring Cup),"Trakai, Lithuania",World Ranking Event,World Ranking Event,Medeina OK,Europe,,https://eventor.orienteering.org/Events/Show/5248,Individual,2016-02-08 21:59:59; 2016-03-29 20:59:59; 2016-04-05 19:59:59,Completed,SportIdent,http://www.springcup.lt,0,Individual,Middle,68,47,21,0
,,FootO,,,FIN,Siljarastit 2016,Paimio,World Ranking Event,World Ranking Event,Paimion Rasti,Europe,,https://eventor.orienteering.org/Events/Show/5245,Individual,2016-04-11 20:59:59,Completed,Emit,,0,Individual,Middle,8,151,86,0
,,FootO,,,BLR,Open Grodno Cup 2016,Grodno,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5323,Individual,2016-04-14 20:59:59,Completed,SportIdent,http://kronanorient.grodno.net/,0,Individual,Sprint,66,49,29,0
,,FootO,,,SUI,MOM 2016,Swiss Championschip Middle Distance,World Ranking Event,World Ranking Event,OLK Fricktal,Europe,,https://eventor.orienteering.org/Events/Show/5372,Individual,,Completed,SportIdent,http://www.olkfricktal.ch/en/MOM2016,0,Individual,Middle,0,70,38,0
,,FootO,,,LTU,Pavasario Taure (Spring Cup),"Trakai, Lithuania",World Ranking Event,World Ranking Event,Medeina OK,Europe,,https://eventor.orienteering.org/Events/Show/5247,Individual,2016-02-08 21:59:59; 2016-03-29 20:59:59; 2016-04-05 20:59:59,Completed,SportIdent,http://www.springcup.lt,0,Individual,Long,61,42,20,0
,,FootO,,,GBR,Northern Championships (England),Mulgrave Woods,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5398,Individual,2016-04-07 22:59:59,Completed,SportIdent,http://www.clok.org.uk/events2016/nchamps/index.htm,0,Individual,Long,24,15,10,0
,,MTBO,,,SWE,"MTBO Åhus, sprint",Åhus ,World Ranking Event,World Ranking Event,OK Pan Kristianstad,Europe,,https://eventor.orienteering.org/Events/Show/5346,Individual,2016-04-17 21:59:59; 2016-04-19 21:59:59,Completed,SportIdent,http://www.mtbocamp.dk,0,Individual,Sprint,55,38,23,0
,,FootO,,,DEN,DM Sprint,Haderslev By,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5320,Individual,2016-04-18 11:00:59,Completed,Emit,http://dm.okhtf.dk/,0,Individual,Sprint,44,26,23,0
,,FootO,,,SRB,Metropolis of South East Europe 2016,Bela Reka Despotovac,World Ranking Event,World Ranking Event,PSK Pobeda,Europe,,https://eventor.orienteering.org/Events/Show/5291,Individual,2016-04-22 21:59:59,Completed,SportIdent,http://www.pdpobeda.rs/orijentiring/en/memorial,0,Individual,Middle,27,20,10,0
,,FootO,,,AUT,Austrian Middle Distance Championships,"St. Jakob im Walde, Styria, Austria",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5322,Individual,,Completed,SportIdent,,0,Individual,Middle,0,40,12,0
,,FootO,,,SWE,Swedish League,"Nol, Sweden",World Ranking Event,World Ranking Event,OK Alehof; Kungalvs OK,Europe,,https://eventor.orienteering.org/Events/Show/5338,Individual,,Completed,SportIdent,http://eventor.orientering.se/Events/Show/12593,0,Individual,Long,0,135,80,0
,,MTBO,,,SWE,"MTBO Åhus, Middle distance",Åhus ,World Ranking Event,World Ranking Event,OK Pan Kristianstad,Europe,,https://eventor.orienteering.org/Events/Show/5347,Individual,2016-04-17 21:59:59; 2016-04-19 21:59:59,Completed,SportIdent,http://www.mtbocamp.dk,0,Individual,Middle,57,39,23,0
,,FootO,,,LAT,Riga Cup 2016,"Baldone, Latvia",World Ranking Event,World Ranking Event,Auseklis IK,Europe,,https://eventor.orienteering.org/Events/Show/5220,Individual,2016-04-11 20:59:59; 2016-04-18 20:59:59,Completed,SportIdent,http://magnets.lv,0,Individual,Middle,18,33,13,0
,,FootO,,,FRA,Nationale Sud-Est,Saint-Régis du Coin (42),World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5166,Individual,2016-04-15 21:59:59,Completed,SportIdent,https://nse2016.wordpress.com/nationale-sud-est/,0,Individual,Long,49,36,11,0
,,FootO,,,SWE,Swedish League,"Nol, Sweden",World Ranking Event,World Ranking Event,OK Alehof; Kungalvs OK,Europe,,https://eventor.orienteering.org/Events/Show/5339,Individual,,Completed,SportIdent,http://eventor.orientering.se/Events/Show/12594,0,Individual,Middle,0,151,101,0
,,FootO,,,GBR,Scottish Spring,Bonskeid Estate,World Ranking Event,World Ranking Event,Forth Valley Orienteers,Europe,,https://eventor.orienteering.org/Events/Show/5441,Individual,2016-04-23 22:59:59,Completed,SportIdent,http://scottishspring.weebly.com/,0,Individual,Middle,12,29,16,0
,,FootO,,,AUS,Wildfire Sports Australian Ultralong Championships,"Flinders Ranges, South Australia",World Ranking Event,World Ranking Event,Onkaparinga Hills Orienteering; Orienteering South Australia,Oceania,Entry via Eventor Australia. Link from event website.  Entries are now open & close on 11th April,https://eventor.orienteering.org/Events/Show/5273,Individual,2016-04-11 14:29:59,Completed,SportIdent,http://sa.orienteering.asn.au/2016NOL/,0,Individual,UltraLong,0,15,12,0
,,FootO,,,BUL,Cupa Velikden 2016,City of Targovishte,World Ranking Event,World Ranking Event,Variant 5 Targovishte,Europe,,https://eventor.orienteering.org/Events/Show/5222,Individual,2016-04-20 15:00:59,Completed,SportIdent,http://cup.variant5.org,0,Individual,Sprint,59,42,16,0
,,FootO,,,POL,World Cup 2016 Round 1,,Major Event,World Cup,Slask Wroclaw,Europe,REMINDER! According to IOF Rules all Athletes must have Athlete License. Due to lack of interest Banquet is cancelled.,https://eventor.orienteering.org/Events/Show/5088,Individual,2016-04-21 10:00:59,Entries opened,Manual,http://worldcup2016.pl,4,Individual; Relay,Middle; Sprint,290,0,0,0
,,FootO,,,BUL,Cupa Velikden 2016,Troitsa,World Ranking Event,World Ranking Event,Variant 5 Targovishte,Europe,,https://eventor.orienteering.org/Events/Show/5223,Individual,2016-04-29 20:59:59,Completed,SportIdent,http://cup.variant5.org,0,Individual,Middle,62,48,16,0
,,FootO,,,SWE,Swedish League,Sandviken town,World Ranking Event,World Ranking Event,OK Hammaren,Europe,,https://eventor.orienteering.org/Events/Show/5334,Individual,2016-05-01 21:59:59,Completed,SportIdent,http://eventor.orientering.se/Events/Show/11782,0,Individual,Sprint,0,109,78,0
,,MTBO,,,RUS,RUSSIAN CHAMPIONSHIPS,Moscow Region,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5307,Individual,2016-05-04 19:59:59,Completed,SportIdent,http://rufso.ru,0,Individual,Sprint,84,48,27,0
,,FootO,,,FRA,Championnat de France,Saint Christol (84),World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5231,Individual,2016-04-27 21:59:59,Completed,SportIdent,http://cfc2016.paca-co.fr/,0,Individual,Middle,30,85,27,0
